的	744863
了	130191
在	118823
是	118527
和	83958
一	81119
这	65146
有	53556
他	52912
我	52728
也	47908
不	46965
就	44947
地	42332
着	41116
中	40849
上	38084
说	35429
都	34323
人	33991
个	31512
对	30936
种	30123
把	29749
为	29265
要	29039
你	28769
而	28404
来	28038
我们	26823
又	25715
一个	24807
与	23823
从	23749
年	22029
到	21744
还	21148
它	21041
大	20907
等	20210
她	19915
两	19539
去	18963
没有	18950
里	18805
得	18698
时	18257
多	18064
他们	17787
发展	17331
用	17259
那	17198
以	17181
所	17101
很	16774
可以	16734
使	16571
但	15963
自己	14793
小	14509
之	14428
能	14413
下	14051
或	13918
看	13758
就是	13715
被	13624
什么	13589
三	13220
这个	13202
会	12996
好	12660
可	12457
后	12144
这样	11980
给	11678
向	11609
社会	11461
由	11413
进行	11087
问题	10899
工作	10531
如	10502
呢	10425
于	10296
其	10206
起来	10196
国家	10139
过	10047
不能	10033
并	9990
这些	9975
生产	9556
生活	9525
只	9417
将	9315
新	9292
想	9154
几	9132
因为	8969
不是	8956
经济	8730
更	8684
研究	8657
已	8632
当	8443
却	8375
主要	8352
再	8200
由于	8074
我国	7980
最	7961
关系	7954
作用	7924
不同	7851
中国	7791
才	7780
人们	7706
出	7687
但是	7678
现在	7642
则	7620
需要	7610
所以	7519
因此	7416
如果	7375
已经	7362
一定	7317
们	7290
各	7275
重要	7135
象	7102
一些	7071
情况	6923
吧	6877
二	6838
次	6837
月	6828
便	6790
知道	6773
时候	6721
做	6708
必须	6703
成	6690
人民	6669
四	6608
走	6594
出来	6574
活动	6569
同	6561
方面	6523
条	6511
高	6508
吗	6508
科学	6505
也是	6473
即	6439
条件	6427
天	6401
许多	6389
通过	6387
思想	6370
发生	6317
叫	6289
为了	6285
老	6236
过程	6231
比	6229
起	6218
而且	6116
影响	6103
方法	6098
要求	6097
内	6025
技术	5978
点	5958
一般	5944
较	5936
让	5893
具有	5870
形成	5853
对于	5846
日	5809
事	5775
时间	5761
认为	5720
还是	5720
真	5709
长	5702
世界	5697
只有	5668
以后	5651
教育	5648
它们	5634
同时	5626
性	5575
表现	5572
产生	5563
出现	5544
企业	5489
社会主义	5480
作	5480
者	5475
没	5449
各种	5419
之间	5380
家	5361
组织	5334
前	5333
水	5318
一样	5278
成为	5251
可能	5233
根据	5186
开始	5138
吃	5137
还有	5102
话	5084
存在	5081
地方	5081
变化	5077
可是	5032
革命	5021
作为	5001
这里	4974
提高	4955
五	4944
同志	4928
跟	4901
以及	4886
见	4823
发现	4821
及	4811
一切	4810
运动	4804
呀	4775
每	4748
听	4625
历史	4620
地区	4594
第一	4593
物质	4549
问	4505
外	4489
你们	4484
位	4478
正	4446
形式	4433
打	4413
认识	4395
那么	4395
例如	4389
学生	4377
政治	4375
比较	4352
全	4334
儿	4308
应	4307
第二	4292
怎么	4287
经过	4285
提出	4271
艺术	4257
自然	4243
头	4234
过去	4213
领导	4199
完全	4184
东西	4174
其他	4169
无	4167
得到	4163
劳动	4127
本	4115
谁	4114
决定	4101
结构	4079
党	4072
现象	4068
受	4039
理论	4033
虽然	4004
带	3996
学习	3995
孩子	3975
特别	3970
工业	3970
啊	3952
一点	3940
建立	3928
管理	3913
文化	3910
利用	3892
先	3865
人类	3842
应该	3836
建设	3836
图	3835
规定	3832
有些	3798
精神	3777
基本	3767
声	3759
结果	3746
看到	3736
手	3712
连	3685
大家	3683
时期	3672
啦	3659
意义	3628
法	3602
十	3591
另	3591
其中	3578
才能	3554
能够	3553
分	3548
间	3545
当时	3541
因	3525
美国	3521
解决	3520
指	3519
只是	3507
语言	3498
增加	3488
内容	3476
该	3471
计划	3460
笑	3457
今天	3433
相	3422
不仅	3417
注意	3398
群众	3393
联系	3361
曾	3358
水平	3355
类	3321
快	3321
使用	3319
写	3310
分析	3308
当然	3308
既	3303
有关	3293
实现	3286
此	3280
系统	3277
直接	3277
不过	3275
按	3270
说明	3258
产品	3244
张	3235
总	3233
全国	3226
基础	3216
十分	3199
市场	3188
找	3184
斗争	3183
环境	3181
特点	3177
为什么	3168
学	3159
于是	3159
反映	3150
引起	3141
创造	3122
参加	3119
甚至	3112
讲	3112
坐	3112
能力	3108
像	3105
开	3105
觉得	3094
一下	3090
民族	3089
放	3079
具体	3072
知识	3067
有的	3055
包括	3049
下来	3046
部门	3008
结合	3003
岁	2993
正确	2986
任务	2986
部分	2986
那些	2973
不会	2966
任何	2937
太	2934
眼睛	2916
经验	2909
实际	2900
随着	2895
农业	2894
道	2894
极	2891
少	2885
不断	2883
这时	2881
最后	2877
件	2875
单位	2873
句	2870
数	2862
而是	2846
表示	2841
之后	2839
关于	2834
六	2826
整个	2826
心	2821
性质	2818
受到	2818
政府	2802
至	2799
到了	2784
作品	2778
青年	2773
目的	2772
工人	2769
规律	2759
农民	2758
元	2752
变	2746
实行	2742
力量	2739
非	2739
一起	2732
先生	2728
后来	2722
名	2716
请	2714
然后	2711
干	2701
办法	2698
站	2674
并不	2669
制度	2669
钱	2667
有人	2658
心理	2654
怎样	2654
原则	2654
多少	2654
处	2653
原来	2647
那个	2639
等等	2634
商品	2627
干部	2626
部	2619
实践	2615
您	2612
所谓	2612
低	2606
行为	2600
第	2599
统一	2599
拿	2598
日本	2597
矛盾	2592
以上	2590
大量	2586
死	2585
个人	2580
指出	2573
然而	2573
代表	2569
学校	2568
原因	2564
几个	2562
达到	2544
因素	2544
感到	2538
实验	2525
地位	2524
方向	2524
正在	2520
资本主义	2513
因而	2510
程度	2509
并且	2507
完成	2499
造成	2491
八	2491
回来	2491
改变	2484
往往	2484
看见	2482
政策	2472
目前	2467
半	2454
那样	2451
这么	2450
范围	2447
非常	2445
只要	2445
经	2441
首先	2438
法律	2437
声音	2436
时代	2433
质量	2429
改革	2418
阶段	2408
心里	2407
继续	2400
获得	2394
方式	2387
层	2384
住	2381
副	2377
不要	2374
量	2370
取得	2363
场	2362
所有	2344
块	2341
人物	2340
书	2333
叫做	2326
占	2302
些	2296
告诉	2293
严重	2290
组成	2284
观察	2281
自	2276
近	2275
往	2272
第三	2270
速度	2270
自由	2270
字	2264
根本	2263
门	2258
容易	2255
哪	2252
加强	2251
了解	2247
全部	2245
早	2244
很多	2242
准备	2238
或者	2229
进一步	2228
项	2224
从而	2219
资产阶级	2217
价值	2216
困难	2211
还要	2199
总是	2197
中心	2197
充分	2176
仍	2174
保证	2172
进入	2171
文学	2168
变成	2168
强	2166
处理	2166
采取	2164
事情	2163
只能	2162
敌人	2145
光	2143
不到	2141
事物	2139
七	2136
那里	2132
约	2131
控制	2126
对象	2124
积极	2119
动物	2119
反应	2119
来说	2118
花	2108
米	2105
美	2100
难	2094
某	2094
行	2093
倒	2089
提供	2082
集中	2078
世纪	2072
突然	2071
下去	2070
别	2069
常	2065
不少	2060
经营	2058
事实	2056
某些	2051
正是	2050
客观	2049
口	2045
生	2043
植物	2030
似的	2029
段	2027
应当	2014
现代	2008
状态	2008
价格	2005
一直	2004
采用	2003
服务	2002
按照	2002
分别	1999
特征	1999
事业	1993
利益	1993
材料	1993
培养	1991
复杂	1990
有时	1983
分子	1982
如何	1981
根	1975
望	1975
掌握	1971
丰富	1969
又是	1968
共同	1964
城市	1964
式	1963
上海	1961
内部	1958
气	1947
理解	1941
音乐	1936
运用	1934
构成	1929
现实	1924
形象	1923
真正	1922
买	1922
发挥	1917
称为	1916
刚	1914
搞	1914
传统	1910
相同	1910
除了	1908
常常	1907
创作	1906
适应	1904
国际	1903
温度	1901
证明	1899
年代	1897
虽	1893
爱	1893
观点	1886
面	1884
促进	1884
战争	1883
阶级	1880
帮助	1876
未	1876
母亲	1875
似乎	1875
回	1868
希望	1867
农村	1867
病	1866
重	1865
家庭	1862
空气	1861
坚持	1861
合理	1859
同样	1855
区	1852
迅速	1849
进	1848
属于	1847
土地	1847
除	1846
不可	1843
身体	1840
靠	1837
本身	1837
万	1836
感情	1836
路	1831
红	1825
父亲	1819
广大	1816
逐渐	1806
身上	1805
人员	1804
跑	1803
反对	1801
北京	1800
生命	1799
必然	1798
简单	1797
人家	1794
选择	1794
解释	1788
旧	1787
步	1783
怕	1774
妈妈	1773
长期	1772
化	1769
效果	1769
扩大	1763
就要	1759
特殊	1759
动作	1758
热	1754
姑娘	1752
相互	1751
努力	1749
过来	1741
保持	1739
离开	1737
分布	1736
百	1736
咱们	1728
远	1727
几乎	1726
地球	1724
以前	1724
体	1724
座	1724
明显	1714
左右	1712
亦	1711
细胞	1709
谈	1709
思维	1708
一部分	1700
互相	1698
仍然	1698
如此	1693
儿童	1690
各个	1686
高兴	1686
这次	1685
生长	1685
